Level,Expression,Value,Location,Refresh
0,palette,,0x20003874,Off
 1,[0],0 ('\0'),0x20003874,Off
 1,[1],0 ('\0'),0x20003875,Off
 1,[2],0 ('\0'),0x20003876,Off
 1,[3],255 ('ÿ'),0x20003877,Off
 1,[4],255 ('ÿ'),0x20003878,Off
 1,[5],255 ('ÿ'),0x20003879,Off
 1,[6],255 ('ÿ'),0x2000387A,Off
 1,[7],255 ('ÿ'),0x2000387B,Off
 1,[8],157 ('\157'),0x2000387C,Off
 1,[9],157 ('\157'),0x2000387D,Off
 1,[10],157 ('\157'),0x2000387E,Off
 1,[11],255 ('ÿ'),0x2000387F,Off
 1,[12],156 ('\156'),0x20003880,Off
 1,[13],156 ('\156'),0x20003881,Off
 1,[14],156 ('\156'),0x20003882,Off
 1,[15],255 ('ÿ'),0x20003883,Off
 1,[16],158 ('\158'),0x20003884,Off
 1,[17],158 ('\158'),0x20003885,Off
 1,[18],158 ('\158'),0x20003886,Off
 1,[19],255 ('ÿ'),0x20003887,Off
 1,[20],155 ('\155'),0x20003888,Off
 1,[21],155 ('\155'),0x20003889,Off
 1,[22],155 ('\155'),0x2000388A,Off
 1,[23],255 ('ÿ'),0x2000388B,Off
 1,[24],111 ('o'),0x2000388C,Off
 1,[25],110 ('n'),0x2000388D,Off
 1,[26],112 ('p'),0x2000388E,Off
 1,[27],255 ('ÿ'),0x2000388F,Off
 1,[28],159 ('\159'),0x20003890,Off
 1,[29],159 ('\159'),0x20003891,Off
 1,[30],159 ('\159'),0x20003892,Off
 1,[31],255 ('ÿ'),0x20003893,Off
 1,[32],154 ('\154'),0x20003894,Off
 1,[33],154 ('\154'),0x20003895,Off
 1,[34],154 ('\154'),0x20003896,Off
 1,[35],255 ('ÿ'),0x20003897,Off
 1,[36],160 (' '),0x20003898,Off
 1,[37],160 (' '),0x20003899,Off
 1,[38],160 (' '),0x2000389A,Off
 1,[39],255 ('ÿ'),0x2000389B,Off
 1,[40],153 ('\153'),0x2000389C,Off
 1,[41],153 ('\153'),0x2000389D,Off
 1,[42],153 ('\153'),0x2000389E,Off
 1,[43],255 ('ÿ'),0x2000389F,Off
 1,[44],161 ('¡'),0x200038A0,Off
 1,[45],161 ('¡'),0x200038A1,Off
 1,[46],161 ('¡'),0x200038A2,Off
 1,[47],255 ('ÿ'),0x200038A3,Off
 1,[48],1 ('\001'),0x200038A4,Off
 1,[49],1 ('\001'),0x200038A5,Off
 1,[50],1 ('\001'),0x200038A6,Off
 1,[51],255 ('ÿ'),0x200038A7,Off
 1,[52],183 ('·'),0x200038A8,Off
 1,[53],183 ('·'),0x200038A9,Off
 1,[54],183 ('·'),0x200038AA,Off
 1,[55],255 ('ÿ'),0x200038AB,Off
 1,[56],186 ('º'),0x200038AC,Off
 1,[57],186 ('º'),0x200038AD,Off
 1,[58],186 ('º'),0x200038AE,Off
 1,[59],255 ('ÿ'),0x200038AF,Off
 1,[60],140 ('\140'),0x200038B0,Off
 1,[61],140 ('\140'),0x200038B1,Off
 1,[62],140 ('\140'),0x200038B2,Off
 1,[63],255 ('ÿ'),0x200038B3,Off
